entry_number,gulper_id,task,subtask,entry_start_time,entry_end_time,duration_seconds,job_id
33,5,Sludge handling,Filling containers,09:13:18,09:13:50,32.1,2026-05-08_01
34,5,Sludge handling,Container transport,09:13:50,09:15:01,70.4,2026-05-08_01
35,17,Extraction,Removing sludge,09:13:55,09:15:25,89.6,2026-05-08_01
36,5,Sludge handling,Filling containers,09:15:01,09:15:30,29.4,2026-05-08_01
37,17,Rest,,09:15:25,09:15:36,10.6,2026-05-08_01
38,5,Rest,,09:15:30,09:15:49,18.4,2026-05-08_01
39,17,Extraction,Removing sludge,09:15:36,09:17:01,85.3,2026-05-08_01
40,5,Sludge handling,Filling containers,09:15:49,09:16:58,69.2,2026-05-08_01
41,5,Fluidizing,Mixing,09:16:58,09:18:13,75.4,2026-05-08_01
42,17,Fluidizing,Mixing,09:17:01,09:21:12,251.5,2026-05-08_01
43,5,Communication,With other gulper(s),09:18:13,09:18:56,43.2,2026-05-08_01
44,5,Fluidizing,Adding water,09:18:56,09:19:16,19.9,2026-05-08_01
45,5,Rest,,09:19:16,09:20:02,45.8,2026-05-08_01
46,5,Fluidizing,Adding water,09:20:02,09:20:57,54.6,2026-05-08_01
47,5,Rest,,09:20:57,09:21:09,12.3,2026-05-08_01
48,5,Fluidizing,Mixing,09:21:09,09:27:20,370.9,2026-05-08_01
49,17,Rest,,09:21:12,09:22:32,79.6,2026-05-08_01
50,17,Fluidizing,Mixing,09:22:32,09:22:57,25.2,2026-05-08_01
51,17,Rest,,09:22:57,09:23:26,28.6,2026-05-08_01
52,17,Fluidizing,Mixing,09:23:26,09:25:16,110.2,2026-05-08_01
53,17,Communication,With other gulper(s),09:25:16,09:25:31,15,2026-05-08_01
54,17,Fluidizing,Mixing,09:25:31,09:26:34,63.1,2026-05-08_01
55,17,Rest,,09:26:34,09:26:50,16,2026-05-08_01
56,17,Fluidizing,Mixing,09:26:50,09:27:22,31.4,2026-05-08_01
57,5,Rest,,09:27:31,09:28:26,54.9,2026-05-08_01
58,17,Rest,,09:27:32,09:28:10,37.8,2026-05-08_01
59,17,Fluidizing,Adding water,09:28:10,09:28:35,25.1,2026-05-08_01
60,5,Fluidizing,Adding water,09:28:26,09:29:15,48.9,2026-05-08_01
61,17,Fluidizing,Mixing,09:28:35,09:31:06,151.4,2026-05-08_01
62,5,Communication,With client(s),09:29:15,09:29:32,17.8,2026-05-08_01
63,5,Fluidizing,Mixing,09:29:32,09:29:38,5.5,2026-05-08_01
64,5,Rest,,09:29:38,09:29:50,12.4,2026-05-08_01
65,5,Fluidizing,Mixing,09:29:50,09:30:57,66.8,2026-05-08_01
66,5,Extraction,Removing sludge,09:30:57,09:31:36,39.2,2026-05-08_01
67,17,Extraction,Removing sludge,09:31:06,09:35:42,276.3,2026-05-08_01
68,5,Sludge handling,Filling containers,09:31:36,09:32:55,78.4,2026-05-08_01
69,5,Extraction,Removing sludge,09:32:55,09:34:12,77.2,2026-05-08_01
70,5,Sludge handling,Filling containers,09:34:12,09:34:57,44.9,2026-05-08_01
71,5,Sludge handling,Container transport,09:34:57,09:35:35,38,2026-05-08_01
72,5,Sludge handling,Filling containers,09:35:35,09:35:50,15,2026-05-08_01
73,17,Rest,,09:35:42,09:35:56,13.7,2026-05-08_01
74,5,Sludge handling,Container transport,09:35:50,09:37:27,97.6,2026-05-08_01
75,17,Extraction,Removing sludge,09:35:56,09:39:43,227.3,2026-05-08_01
76,5,Sludge handling,Filling containers,09:37:27,09:39:34,126.7,2026-05-08_01
77,5,Communication,With other gulper(s),09:39:34,09:39:39,5.3,2026-05-08_01
78,5,Fluidizing,Adding water,09:39:39,09:41:05,85.7,2026-05-08_01
79,17,Fluidizing,Mixing,09:39:43,09:41:43,119.5,2026-05-08_01
80,5,Fluidizing,Mixing,09:41:05,09:44:12,186.5,2026-05-08_01
81,17,Rest,,09:41:43,09:41:50,7.3,2026-05-08_01
82,17,Fluidizing,Mixing,09:41:50,09:42:37,47.5,2026-05-08_01
83,17,Rest,,09:42:37,09:43:43,65.2,2026-05-08_01
84,17,Fluidizing,Mixing,09:43:43,09:53:31,588.1,2026-05-08_01
85,5,Rest,,09:44:12,09:44:51,39.6,2026-05-08_01
86,5,Extraction,Pulling out trash,09:44:51,09:46:32,101.2,2026-05-08_01
87,5,Rest,,09:46:32,09:46:39,7,2026-05-08_01
88,5,Extraction,Pulling out trash,09:46:39,09:46:51,12.1,2026-05-08_01
89,5,Rest,,09:46:51,09:47:20,28.4,2026-05-08_01
90,5,Extraction,Pulling out trash,09:47:20,09:47:25,5.2,2026-05-08_01
91,5,Fluidizing,Adding water,09:47:25,09:48:43,78,2026-05-08_01
92,5,Rest,,09:48:43,09:50:16,93,2026-05-08_01
93,5,Extraction,Pulling out trash,09:50:16,09:50:29,13,2026-05-08_01
94,5,Communication,With other gulper(s),09:50:29,09:51:27,58.3,2026-05-08_01
95,5,Extraction,Pulling out trash,09:51:27,09:52:11,43.9,2026-05-08_01
96,5,Rest,,09:52:11,09:52:34,22.9,2026-05-08_01
97,5,Communication,With client(s),09:52:34,09:53:06,32.3,2026-05-08_01
98,5,Rest,,09:53:56,09:56:54,178.4,2026-05-08_01
99,17,Rest,,09:54:25,09:57:03,158.6,2026-05-08_01
100,5,Fluidizing,Adding water,09:56:54,09:58:19,84.9,2026-05-08_01
101,17,Fluidizing,Adding water,09:57:03,09:57:22,18.5,2026-05-08_01
102,17,Extraction,Pulling out trash,09:57:22,09:59:35,133.4,2026-05-08_01
103,5,Rest,,09:58:19,09:58:50,30.8,2026-05-08_01
104,5,Extraction,Pulling out trash,09:58:50,09:59:34,43.5,2026-05-08_01
105,5,Extraction,Removing sludge,09:59:34,10:00:18,44.5,2026-05-08_01
106,17,Extraction,Removing sludge,09:59:35,10:03:10,215,2026-05-08_01
107,5,Sludge handling,Filling containers,10:00:18,10:01:29,71.3,2026-05-08_01
108,5,Sludge handling,Container transport,10:01:29,10:01:35,5.7,2026-05-08_01
109,5,Sludge handling,Filling containers,10:01:35,10:01:41,6.2,2026-05-08_01
110,5,Sludge handling,Container transport,10:01:41,10:02:39,57.5,2026-05-08_01
111,5,Communication,With client(s),10:02:39,10:04:02,83,2026-05-08_01
112,17,Equipment,Cleaning,10:03:10,10:03:19,8.9,2026-05-08_01
113,17,Sludge handling,Container transport,10:03:19,10:04:10,50.8,2026-05-08_01
114,5,Equipment,Maneuvering,10:04:02,10:04:18,16.6,2026-05-08_01
115,17,Equipment,Repair,10:04:10,10:07:42,212.3,2026-05-08_01
116,5,Equipment,Repair,10:04:33,10:06:36,123.2,2026-05-08_01
117,5,Equipment,Repair,10:06:58,10:07:15,17.1,2026-05-08_01
118,5,Sludge handling,Container transport,10:07:15,10:08:25,70,2026-05-08_01
119,17,Sludge handling,Container transport,10:07:42,10:08:28,46.2,2026-05-08_01
120,5,Sludge handling,Filling containers,10:08:25,10:09:06,40.6,2026-05-08_01
121,17,Extraction,Removing sludge,10:08:28,10:10:04,95.1,2026-05-08_01
122,5,Sludge handling,Container transport,10:09:06,10:09:09,2.9,2026-05-08_01
123,5,Sludge handling,Filling containers,10:09:09,10:09:56,47.2,2026-05-08_01
124,5,Sludge handling,Container transport,10:09:56,10:11:17,81.5,2026-05-08_01
125,17,Rest,,10:10:04,10:11:15,71.8,2026-05-08_01
126,17,Extraction,Removing sludge,10:11:15,10:13:29,133.8,2026-05-08_01
127,5,Sludge handling,Filling containers,10:11:17,10:13:26,128.8,2026-05-08_01
128,5,Equipment,Maneuvering,10:13:26,10:13:48,21.7,2026-05-08_01
129,17,Equipment,Maneuvering,10:13:29,10:15:30,120.8,2026-05-08_01
130,5,Rest,,10:13:48,10:14:00,11.9,2026-05-08_01
131,5,Equipment,Maneuvering,10:14:00,10:14:16,15.8,2026-05-08_01
132,5,Communication,With client(s),10:14:16,10:14:50,34.8,2026-05-08_01
133,5,Extraction,Pulling out trash,10:14:50,10:14:57,6.9,2026-05-08_01
134,5,Disposal,,10:14:57,10:15:00,2.9,2026-05-08_01
135,5,Sludge handling,Container transport,10:15:06,10:15:25,19.3,2026-05-08_01
136,5,Fluidizing,Adding water,10:15:25,10:16:09,44.3,2026-05-08_01
137,17,Rest,,10:15:30,10:16:13,43.3,2026-05-08_01
138,17,Equipment,Cleaning,10:16:13,10:17:48,94.6,2026-05-08_01
139,5,Equipment,Cleaning,10:16:57,10:20:21,204.1,2026-05-08_01
140,17,Rest,,10:17:48,10:18:09,21.4,2026-05-08_01
141,17,Equipment,Cleaning,10:18:27,10:19:57,90.4,2026-05-08_01
142,17,Sludge handling,Container transport,10:19:57,10:21:32,94.5,2026-05-08_01
143,5,Sludge handling,Container transport,10:20:21,10:21:25,63.6,2026-05-08_01
144,5,Equipment,Cleaning,10:21:25,10:23:28,123.6,2026-05-08_01
145,17,Communication,With other gulper(s),10:21:32,10:21:38,5.9,2026-05-08_01
146,17,Equipment,Cleaning,10:21:38,10:23:31,113,2026-05-08_01
147,5,Equipment,Maneuvering,10:23:28,10:28:53,324.6,2026-05-08_01
148,17,Equipment,Maneuvering,10:23:31,10:28:03,272.3,2026-05-08_01
149,17,Rest,,10:28:03,10:28:22,18.9,2026-05-08_01
150,17,Equipment,Maneuvering,10:28:22,10:28:55,33.4,2026-05-08_01
151,5,Travel,Travel to disposal site,10:28:53,10:29:59,66.1,2026-05-08_01
152,17,Travel,Travel to disposal site,10:28:55,10:30:02,66.9,2026-05-08_01
153,5,Superstructure,Repair,10:29:59,10:32:06,127.3,2026-05-08_01
154,17,Superstructure,Repair,10:30:02,10:32:09,127.5,2026-05-08_01
155,5,Travel,Travel to disposal site,10:32:06,11:00:14,1687.8,2026-05-08_01
156,17,Travel,Travel to disposal site,10:32:09,11:00:18,1688.7,2026-05-08_01
157,5,Equipment,Maneuvering,11:00:14,11:03:06,171.6,2026-05-08_01
158,17,Equipment,Maneuvering,11:00:18,11:03:08,169.9,2026-05-08_01
159,17,Disposal,,11:03:08,11:11:13,485.1,2026-05-08_01
160,5,Disposal,,11:03:11,11:15:39,747.9,2026-05-08_01
161,17,Rest,,11:11:13,11:11:27,13.8,2026-05-08_01
162,17,Disposal,,11:11:32,11:15:39,247.3,2026-05-08_01
1,4,Earthworks,Dig trench,10:29:07,10:31:58,171.3,2026-05-21_01
2,15,Earthworks,Dig trench,10:29:27,10:30:11,44.7,2026-05-21_01
3,15,Rest,,10:30:11,10:31:55,103.4,2026-05-21_01
4,15,Earthworks,Dig trench,10:31:55,10:32:25,30.7,2026-05-21_01
5,4,Rest,,10:31:58,10:34:13,134.2,2026-05-21_01
6,15,Rest,,10:32:25,10:32:31,6,2026-05-21_01
7,15,Earthworks,Dig trench,10:32:31,10:34:42,130.3,2026-05-21_01
8,4,Equipment,Repairing,10:34:13,10:34:45,32.7,2026-05-21_01
9,15,Rest,,10:34:42,10:34:49,7,2026-05-21_01
10,4,Rest,,10:34:45,10:35:02,16.9,2026-05-21_01
11,15,Earthworks,Dig trench,10:34:49,10:35:29,39.9,2026-05-21_01
12,4,Earthworks,Dig trench,10:35:02,10:35:12,9.6,2026-05-21_01
13,4,Rest,,10:35:12,10:35:25,13.2,2026-05-21_01
14,4,Earthworks,Dig trench,10:35:25,10:36:39,73.7,2026-05-21_01
15,15,Rest,,10:35:37,10:39:21,224,2026-05-21_01
16,4,Rest,,10:36:39,10:36:52,12.9,2026-05-21_01
17,4,Earthworks,Dig trench,10:37:00,10:40:21,201.4,2026-05-21_01
18,15,Communication,With client(s),10:39:21,10:39:54,32.8,2026-05-21_01
19,15,Rest,,10:39:59,10:40:39,40.3,2026-05-21_01
20,4,Rest,,10:40:28,10:40:32,4.4,2026-05-21_01
21,4,Earthworks,Dig trench,10:40:32,10:44:08,215.3,2026-05-21_01
22,15,Communication,With other gulper(s),10:40:39,10:40:46,6.3,2026-05-21_01
23,15,Rest,,10:40:46,10:41:43,57.4,2026-05-21_01
24,15,Communication,With client(s),10:41:43,10:41:50,6.7,2026-05-21_01
25,15,Rest,,10:41:50,10:42:34,44,2026-05-21_01
26,15,Earthworks,Dig trench,10:42:34,10:42:56,21.9,2026-05-21_01
27,15,Rest,,10:42:56,10:43:56,60.5,2026-05-21_01
28,4,Communication,With other gulper(s),10:44:08,10:44:20,12,2026-05-21_01
29,15,Earthworks,Dig trench,10:44:41,10:46:19,98.1,2026-05-21_01
30,4,Rest,,10:45:11,10:46:00,48.2,2026-05-21_01
31,4,Communication,With client(s),10:46:00,10:46:15,15.4,2026-05-21_01
32,4,Communication,With other gulper(s),10:46:15,10:46:25,9.7,2026-05-21_01
33,15,Communication,With other gulper(s),10:46:19,10:46:45,26.6,2026-05-21_01
34,4,Earthworks,Dig trench,10:46:25,10:47:34,69,2026-05-21_01
35,15,Rest,,10:46:45,10:47:29,43.4,2026-05-21_01
36,15,Earthworks,Dig trench,10:47:29,10:48:23,54.3,2026-05-21_01
37,4,Rest,,10:47:34,10:48:21,46.9,2026-05-21_01
38,4,Communication,With other gulper(s),10:48:21,10:49:04,43.9,2026-05-21_01
39,15,Communication,With other gulper(s),10:48:23,10:48:43,19.5,2026-05-21_01
40,15,Earthworks,Dig trench,10:48:43,10:54:45,362,2026-05-21_01
41,4,Rest,,10:49:04,10:52:45,220.8,2026-05-21_01
42,4,Communication,With other gulper(s),10:52:45,10:53:12,27.3,2026-05-21_01
43,4,Rest,,10:53:12,10:53:37,24.2,2026-05-21_01
44,4,Communication,With other gulper(s),10:53:37,10:53:51,14,2026-05-21_01
45,4,Communication,With client(s),10:53:51,10:55:05,74,2026-05-21_01
46,15,Earthworks,Put hole in pit liner,10:54:45,10:55:23,38.4,2026-05-21_01
47,4,Communication,With other gulper(s),10:55:05,10:55:44,39.8,2026-05-21_01
48,15,Earthworks,Dig trench,10:55:23,10:55:34,11.1,2026-05-21_01
49,15,Earthworks,Put hole in pit liner,10:55:34,10:56:51,76.8,2026-05-21_01
50,4,Rest,,10:56:22,11:00:09,226.9,2026-05-21_01
51,15,Earthworks,Dig trench,10:57:29,11:00:35,185.3,2026-05-21_01
52,4,Communication,With client(s),11:00:09,11:00:12,3.1,2026-05-21_01
53,4,Communication,With other gulper(s),11:00:12,11:00:17,4.5,2026-05-21_01
54,4,Rest,,11:00:17,11:00:31,14.3,2026-05-21_01
55,4,Communication,With other gulper(s),11:00:31,11:00:47,15.6,2026-05-21_01
56,15,Communication,With other gulper(s),11:00:35,11:00:50,14.8,2026-05-21_01
57,4,Earthworks,Dig trench,11:00:47,11:05:25,278.5,2026-05-21_01
58,15,Rest,,11:00:50,11:02:34,104.3,2026-05-21_01
59,15,Superstructure,Inspection,11:02:34,11:02:48,14.4,2026-05-21_01
60,15,Rest,,11:02:48,11:02:56,7.6,2026-05-21_01
61,15,Communication,With client(s),11:02:56,11:03:00,4,2026-05-21_01
62,15,Rest,,11:03:00,11:03:21,21,2026-05-21_01
63,15,Communication,With other gulper(s),11:03:21,11:03:56,34.6,2026-05-21_01
64,15,Rest,,11:03:56,11:04:47,51.5,2026-05-21_01
65,15,Communication,With other gulper(s),11:04:47,11:05:02,15,2026-05-21_01
66,15,Superstructure,Inspection,11:05:02,11:05:21,18.6,2026-05-21_01
67,15,Earthworks,Put hole in pit liner,11:06:09,11:07:47,97.3,2026-05-21_01
68,4,Rest,,11:06:12,11:07:59,107,2026-05-21_01
69,15,Communication,With other gulper(s),11:07:47,11:08:07,20.3,2026-05-21_01
70,4,Equipment,Maneuvering,11:07:59,11:08:14,15.7,2026-05-21_01
71,15,Earthworks,Put hole in pit liner,11:08:07,11:09:33,86.5,2026-05-21_01
72,4,Rest,,11:08:14,11:13:47,332.6,2026-05-21_01
73,15,Earthworks,Put hole in pit liner,11:09:33,11:12:17,163.6,2026-05-21_01
74,15,Earthworks,Dig trench,11:12:17,11:12:46,29.2,2026-05-21_01
75,15,Earthworks,Put hole in pit liner,11:12:46,11:14:08,81.6,2026-05-21_01
76,4,Communication,With other gulper(s),11:13:47,11:15:30,102.8,2026-05-21_01
77,15,Earthworks,Dig trench,11:14:08,11:15:36,88.3,2026-05-21_01
78,4,Rest,,11:15:30,11:15:41,10.9,2026-05-21_01
79,15,Rest,,11:15:36,11:16:07,31,2026-05-21_01
80,4,Equipment,Maneuvering,11:15:41,11:16:04,23.7,2026-05-21_01
81,4,Rest,,11:16:04,11:17:46,101.3,2026-05-21_01
82,15,Communication,With other gulper(s),11:16:07,11:16:15,7.8,2026-05-21_01
83,15,Extraction,Removing sludge,11:18:06,11:25:11,424.5,2026-05-21_01
84,4,Fluidizing,Mixing,11:18:12,11:19:32,80.6,2026-05-21_01
85,4,Rest,,11:19:32,11:19:39,7.2,2026-05-21_01
86,4,Fluidizing,Mixing,11:19:39,11:20:55,76,2026-05-21_01
87,4,Fluidizing,Mixing,11:20:55,11:23:06,130.5,2026-05-21_01
88,4,Rest,,11:24:29,11:27:20,171.1,2026-05-21_01
89,15,Earthworks,Repair pit liner,11:26:11,11:30:11,240.5,2026-05-21_01
90,4,Equipment,Cleaning,11:27:25,11:28:02,36.8,2026-05-21_01
91,4,Rest,,11:28:30,11:31:30,180.1,2026-05-21_01
92,15,Earthworks,Fill trench,11:30:24,11:36:14,350.6,2026-05-21_01
93,4,Earthworks,Fill trench,11:31:37,11:40:17,519.9,2026-05-21_01
94,15,Rest,,11:36:14,11:36:52,37.7,2026-05-21_01
95,15,Earthworks,Fill trench,11:36:52,11:37:30,38.3,2026-05-21_01
96,15,Earthworks,Fill trench,11:37:55,11:38:51,55.6,2026-05-21_01
97,15,Rest,,11:38:51,11:39:16,25.1,2026-05-21_01
98,15,Earthworks,Fill trench,11:39:16,11:43:08,232.2,2026-05-21_01
99,4,Rest,,11:40:17,11:40:35,18.3,2026-05-21_01
100,4,Rest,,11:40:38,11:41:15,37.5,2026-05-21_01
101,4,Equipment,Maneuvering,11:41:15,11:42:04,48.9,2026-05-21_01
102,4,Equipment,Cleaning,11:42:04,11:42:15,10.4,2026-05-21_01
103,4,Equipment,Cleaning,11:42:15,11:42:49,34,2026-05-21_01
104,4,Rest,,11:42:49,11:43:19,30.1,2026-05-21_01
105,15,Rest,,11:43:08,11:44:21,73.4,2026-05-21_01
106,4,Equipment,Cleaning,11:43:19,11:44:10,51.1,2026-05-21_01
107,4,Equipment,Maneuvering,11:44:10,11:44:28,17.9,2026-05-21_01
108,15,Equipment,Cleaning,11:44:21,11:50:13,351.9,2026-05-21_01
109,4,Equipment,Maneuvering,11:44:28,11:44:30,2.7,2026-05-21_01
110,4,Equipment,Cleaning,11:44:30,11:46:14,104.2,2026-05-21_01
111,4,Equipment,Maneuvering,11:46:14,11:46:38,23.9,2026-05-21_01
112,4,Rest,,11:46:38,11:46:47,8.5,2026-05-21_01
113,4,Equipment,Maneuvering,11:46:47,11:47:06,19,2026-05-21_01
114,4,Equipment,Cleaning,11:47:06,11:49:45,159.1,2026-05-21_01
115,4,Equipment,Maneuvering,11:49:45,11:50:52,66.7,2026-05-21_01
116,15,Equipment,Maneuvering,11:50:13,11:50:48,35.1,2026-05-21_01
117,15,Equipment,Cleaning,11:50:49,11:51:40,51.3,2026-05-21_01
118,4,Equipment,Cleaning,11:50:52,11:50:57,5.4,2026-05-21_01
119,4,Equipment,Maneuvering,11:50:57,11:51:48,50.7,2026-05-21_01
120,4,Equipment,Cleaning,11:52:03,11:58:09,365.8,2026-05-21_01
121,15,Equipment,Cleaning,11:58:09,11:58:09,0,2026-05-21_01
1,15,Communication,With client(s),13:08:58,13:10:04,65.8,2026-05-31_01
2,15,Superstructure,Inspection,13:10:15,13:11:53,98.6,2026-05-31_01
3,15,Communication,With client(s),13:11:55,13:13:18,82.2,2026-05-31_01
4,15,Rest,,13:13:18,13:13:38,20.5,2026-05-31_01
5,15,Equipment,Maneuvering,13:13:38,13:13:57,19.4,2026-05-31_01
6,15,Communication,With client(s),13:13:57,13:15:34,96.9,2026-05-31_01
7,15,Earthworks,Dig trench,13:15:34,13:15:45,10.2,2026-05-31_01
8,15,Earthworks,Dig trench,13:15:49,13:16:34,44.9,2026-05-31_01
9,15,Equipment,Maneuvering,13:16:34,13:16:50,15.5,2026-05-31_01
10,15,Rest,,13:16:50,13:17:33,43.4,2026-05-31_01
11,15,Superstructure,Inspection,13:17:33,13:17:39,5.5,2026-05-31_01
12,15,Rest,,13:17:39,13:18:45,66,2026-05-31_01
13,15,Earthworks,Dig trench,13:18:47,13:29:55,668.2,2026-05-31_01
14,15,Communication,With client(s),13:29:55,13:30:02,6.9,2026-05-31_01
15,15,Earthworks,Dig trench,13:30:02,13:30:10,7.5,2026-05-31_01
16,15,Communication,With client(s),13:30:10,13:30:45,35,2026-05-31_01
17,15,Earthworks,Dig trench,13:30:54,13:55:38,1483.6,2026-05-31_01
18,15,Rest,,13:55:38,13:55:55,17.5,2026-05-31_01
19,15,Earthworks,Dig trench,13:55:55,14:04:15,499.4,2026-05-31_01
20,15,Rest,,14:04:15,14:04:28,13.6,2026-05-31_01
21,15,Equipment,Maneuvering,14:04:28,14:04:38,9.3,2026-05-31_01
22,15,Rest,,14:04:38,14:04:52,14.7,2026-05-31_01
23,15,Superstructure,Inspection,14:04:52,14:05:04,11.8,2026-05-31_01
24,15,Rest,,14:05:04,14:05:12,8.4,2026-05-31_01
25,15,Communication,With client(s),14:05:12,14:05:41,28.4,2026-05-31_01
26,15,Rest,,14:05:41,14:06:28,47.3,2026-05-31_01
27,15,Earthworks,Put hole in pit liner,14:06:28,14:21:01,873,2026-05-31_01
28,15,Extraction,Removing sludge,14:21:01,14:22:17,75.7,2026-05-31_01
29,15,Rest,,14:22:17,14:22:25,7.9,2026-05-31_01
30,15,Extraction,Removing sludge,14:22:25,14:22:40,15.5,2026-05-31_01
31,15,Rest,,14:22:40,14:22:46,5.4,2026-05-31_01
32,15,Superstructure,Inspection,14:22:46,14:23:01,15,2026-05-31_01
33,15,Equipment,Maneuvering,14:23:01,14:23:19,18.5,2026-05-31_01
34,15,Fluidizing,Mixing,14:23:19,14:24:40,81.1,2026-05-31_01
35,15,Extraction,Removing sludge,14:24:40,14:24:55,14.9,2026-05-31_01
36,15,Communication,With client(s),14:24:55,14:25:07,12.2,2026-05-31_01
37,15,Fluidizing,Mixing,14:25:07,14:25:45,37.2,2026-05-31_01
38,15,Communication,With client(s),14:25:45,14:25:51,6.1,2026-05-31_01
39,15,Fluidizing,Mixing,14:25:51,14:26:26,35,2026-05-31_01
40,15,Extraction,Removing sludge,14:26:26,14:27:55,88.9,2026-05-31_01
41,15,Fluidizing,Mixing,14:27:55,14:29:12,77,2026-05-31_01
42,15,Extraction,Removing sludge,14:29:12,14:29:26,14,2026-05-31_01
43,15,Communication,With client(s),14:29:26,14:29:30,4,2026-05-31_01
44,15,Extraction,Removing sludge,14:29:30,14:30:59,89.8,2026-05-31_01
45,15,Rest,,14:30:59,14:31:25,25.7,2026-05-31_01
46,15,Fluidizing,Mixing,14:31:25,14:33:33,128.3,2026-05-31_01
47,15,Extraction,Removing sludge,14:33:33,14:33:59,25.1,2026-05-31_01
48,15,Extraction,Pulling out trash,14:33:59,14:35:15,76.6,2026-05-31_01
49,15,Extraction,Removing sludge,14:36:23,14:36:58,35,2026-05-31_01
50,15,Fluidizing,Mixing,14:36:58,14:38:07,68.6,2026-05-31_01
51,15,Extraction,Removing sludge,14:38:07,14:41:22,195.4,2026-05-31_01
52,15,Fluidizing,Mixing,14:41:22,14:42:29,66.7,2026-05-31_01
53,15,Extraction,Removing sludge,14:42:29,14:45:38,189,2026-05-31_01
54,15,Fluidizing,Mixing,14:45:38,14:47:38,120.2,2026-05-31_01
55,15,Extraction,Removing sludge,14:47:38,14:48:42,64.3,2026-05-31_01
56,15,Rest,,14:48:42,14:48:47,4.7,2026-05-31_01
57,15,Extraction,Removing sludge,14:48:47,14:51:16,149,2026-05-31_01
58,15,Rest,,14:51:16,14:52:07,51.2,2026-05-31_01
59,15,Fluidizing,Mixing,14:52:07,14:55:09,181.5,2026-05-31_01
60,15,Extraction,Removing sludge,14:55:09,14:55:31,22.7,2026-05-31_01
61,15,Extraction,Pulling out trash,14:55:31,14:56:00,28.7,2026-05-31_01
62,15,Extraction,Removing sludge,14:56:00,14:58:44,163.9,2026-05-31_01
63,15,Fluidizing,Mixing,14:58:44,15:02:21,217,2026-05-31_01
64,15,Extraction,Removing sludge,15:02:21,15:05:25,184.1,2026-05-31_01
65,15,Extraction,Pulling out trash,15:05:25,15:06:25,59.6,2026-05-31_01
66,15,Extraction,Removing sludge,15:06:25,15:07:29,64.5,2026-05-31_01
67,15,Fluidizing,Mixing,15:07:29,15:09:33,123.7,2026-05-31_01
68,15,Extraction,Removing sludge,15:09:33,15:13:18,224.8,2026-05-31_01
69,15,Fluidizing,Mixing,15:13:18,15:15:11,113.3,2026-05-31_01
70,15,Extraction,Removing sludge,15:15:11,15:19:04,232.7,2026-05-31_01
71,15,Communication,With client(s),15:19:04,15:19:42,38.2,2026-05-31_01
72,15,Extraction,Removing sludge,15:19:42,15:19:52,9.7,2026-05-31_01
73,15,Communication,With client(s),15:19:52,15:20:05,13.6,2026-05-31_01
74,15,Fluidizing,Mixing,15:20:05,15:20:36,30.8,2026-05-31_01
